Year,Term,YearTerm,Subject,Number,Course Title,Sched Type,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor,Students,European Semester,Average Numeric Grade
2023,Fall,2023-fa,ECON,102,Microeconomic Principles,DIS,4,8,12,3,5,2,1,2,1,1,1,1,0,0,"Mun, Sanghee",41,WiSe,1.7390243902439024
2023,Fall,2023-fa,ECON,102,Microeconomic Principles,DIS,9,5,5,9,7,1,1,1,0,0,0,0,1,0,"Mun, Sanghee",39,WiSe,1.61025641025641
2023,Fall,2023-fa,ECON,102,Microeconomic Principles,DIS,7,11,4,5,4,2,4,2,0,1,0,0,2,0,"Liu, Zichang",42,WiSe,1.7809523809523813
2023,Fall,2023-fa,ECON,102,Microeconomic Principles,DIS,8,13,3,1,4,2,2,3,0,0,0,1,0,2,"Liu, Zichang",37,WiSe,1.5648648648648646
2023,Fall,2023-fa,ECON,102,Microeconomic Principles,DIS,11,8,9,3,3,0,3,4,0,0,0,0,0,0,"Liu, Zichang",41,WiSe,1.5097560975609758
2023,Fall,2023-fa,ECON,102,Microeconomic Principles,DIS,6,8,11,6,2,2,2,1,1,1,0,0,0,0,"Liu, Zichang",40,WiSe,1.5625
2023,Fall,2023-fa,MUS,133,Introduction to World Music,LEC,0,497,48,18,17,2,3,3,3,0,0,0,2,0,"Smith, Jonathon M",593,WiSe,1.1224283305227656
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,17,14,7,5,2,2,0,0,0,1,0,0,0,0,"Travis, Lisa L",48,WiSe,1.26875
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,21,9,8,3,1,4,0,0,1,0,1,0,0,0,"Travis, Lisa L",48,WiSe,1.3333333333333333
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,9,8,4,1,0,3,1,0,2,1,0,0,1,0,"Travis, Lisa L",30,WiSe,1.6266666666666667
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,15,12,10,2,3,0,1,0,1,0,0,0,1,1,"Travis, Lisa L",45,WiSe,1.3422222222222222
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,11,15,10,1,3,4,0,1,1,0,0,0,0,0,"Travis, Lisa L",46,WiSe,1.3521739130434782
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,9,15,7,1,3,0,0,3,1,1,0,0,1,0,"Travis, Lisa L",41,WiSe,1.5073170731707317
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,23,10,4,4,3,0,2,0,0,1,0,1,0,0,"Travis, Lisa L",48,WiSe,1.3416666666666668
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,18,18,5,3,1,1,1,0,0,1,0,0,0,0,"Travis, Lisa L",48,WiSe,1.2145833333333333
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,16,11,6,8,1,2,1,0,0,0,1,0,2,0,"Travis, Lisa L",48,WiSe,1.4937500000000001
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,12,13,14,1,5,2,1,0,0,0,0,0,0,0,"Travis, Lisa L",48,WiSe,1.2958333333333336
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,20,9,2,2,8,1,2,1,0,1,1,0,1,0,"Travis, Lisa L",48,WiSe,1.5499999999999998
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,18,16,4,3,1,0,2,1,0,0,0,0,0,0,"Travis, Lisa L",45,WiSe,1.2155555555555557
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,13,9,2,2,1,1,0,1,0,0,1,0,2,0,"Travis, Lisa L",32,WiSe,1.540625
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,21,12,6,4,4,1,0,0,0,0,0,0,0,0,"Travis, Lisa L",48,WiSe,1.2062499999999998
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,18,8,6,3,2,1,1,1,1,0,0,0,1,0,"Travis, Lisa L",42,WiSe,1.4095238095238094
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,18,11,9,1,4,2,0,0,1,0,0,1,1,0,"Travis, Lisa L",48,WiSe,1.4083333333333332
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,10,12,9,5,1,2,4,0,0,0,0,0,0,0,"Travis, Lisa L",43,WiSe,1.3860465116279073
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,13,7,3,2,0,0,1,0,0,0,0,0,1,0,"Travis, Lisa L",27,WiSe,1.2962962962962963
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,17,13,5,2,0,1,0,1,0,0,0,0,1,0,"Travis, Lisa L",40,WiSe,1.255
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,8,6,7,10,5,4,1,1,1,1,0,0,2,0,"Travis, Lisa L",46,WiSe,1.7826086956521738
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,9,18,12,3,4,0,0,0,1,0,0,0,1,0,"Travis, Lisa L",48,WiSe,1.3333333333333333
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,24,7,6,2,1,1,3,1,1,0,0,1,0,0,"Travis, Lisa L",47,WiSe,1.3872340425531913
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,15,8,7,0,2,2,1,0,0,0,0,0,0,0,"Travis, Lisa L",35,WiSe,1.2400000000000002
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,17,6,11,1,4,3,0,3,1,0,0,0,0,0,"Travis, Lisa L",46,WiSe,1.4391304347826088
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,17,12,10,3,0,3,0,0,0,1,0,0,0,0,"Travis, Lisa L",46,WiSe,1.2543478260869565
2023,Fall,2023-fa,PSYC,100,Intro Psych,LCD,16,2,2,2,2,1,1,0,0,0,1,0,0,0,"Travis, Lisa L",27,WiSe,1.3703703703703705
2023,Spring,2023-sp,DANC,100,Intro to Contemporary Dance,LEC,0,21,2,0,1,1,0,0,1,0,0,0,1,0,"Gilmore, Adanya N",27,SoSe,1.3407407407407408
2023,Spring,2023-sp,DANC,100,Intro to Contemporary Dance,LEC,12,5,4,1,0,1,0,0,0,0,0,0,0,0,"Tecza, Aleksander",23,SoSe,1.1391304347826086
2023,Spring,2023-sp,DANC,100,Intro to Contemporary Dance,ONL,14,27,2,2,1,0,0,1,0,0,0,0,0,0,"Rogovoy, Anna P",47,SoSe,1.1063829787234043
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,5,7,4,1,4,2,2,2,2,2,1,0,4,0,"Jung, Youngjoo",36,SoSe,2.2472222222222222
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,4,7,3,4,4,2,0,5,1,0,1,0,3,1,"Jung, Youngjoo",34,SoSe,2.105882352941176
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,9,6,4,2,3,3,2,3,3,1,0,0,6,0,"Salehi, Mohamadreza",42,SoSe,2.25
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,3,8,2,3,8,2,1,2,2,2,1,1,3,1,"Salehi, Mohamadreza",38,SoSe,2.244736842105263
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,7,1,5,8,4,2,1,3,1,1,3,1,0,0,"Salehi, Mohamadreza",37,SoSe,2.045945945945946
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,7,6,3,1,3,3,4,1,2,1,0,1,4,1,"Benete Reis De, Sebastiao",36,SoSe,2.2194444444444446
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,9,10,6,4,1,3,1,2,2,0,1,0,1,0,"Benete Reis De, Sebastiao",40,SoSe,1.6700000000000004
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,5,12,4,4,5,0,4,2,0,1,1,1,0,0,"Benete Reis De, Sebastiao",39,SoSe,1.7384615384615383
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,11,7,5,4,0,3,1,1,2,1,1,0,1,0,"Benete Reis De, Sebastiao",37,SoSe,1.7081081081081084
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,3,3,1,0,5,1,1,2,5,2,1,1,1,0,"Tang, Chenxi",26,SoSe,2.519230769230769
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,6,10,5,3,3,2,2,0,2,0,2,1,2,0,"Tang, Chenxi",38,SoSe,1.9078947368421053
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,8,3,7,3,3,3,1,2,0,3,0,1,5,0,"Tang, Chenxi",39,SoSe,2.235897435897436
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,4,5,6,5,5,0,0,3,0,3,2,4,2,0,"Hardiman, Allen",39,SoSe,2.323076923076923
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,14,6,5,4,4,3,1,1,0,0,0,0,1,0,"Hardiman, Allen",39,SoSe,1.5102564102564102
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,8,5,6,2,5,0,1,3,1,0,1,0,2,0,"Tang, Chenxi",34,SoSe,1.8588235294117648
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,4,6,5,2,3,2,2,4,1,2,2,1,2,0,"Buller, David H",36,SoSe,2.247222222222222
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,3,2,2,5,6,1,1,4,4,1,1,0,5,0,"Buller, David H",35,SoSe,2.6
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,3,11,3,4,5,0,1,2,2,1,2,1,0,0,"Yi, Minh Joo",35,SoSe,1.8857142857142861
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,3,12,3,4,2,2,3,3,2,3,1,0,0,0,"Yi, Minh Joo",38,SoSe,1.9236842105263157
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,8,6,8,6,3,4,1,1,2,0,0,0,0,0,"Yi, Minh Joo",39,SoSe,1.5923076923076924
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,9,11,4,6,4,2,3,0,0,1,0,0,0,0,"Yi, Minh Joo",40,SoSe,1.495
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,7,12,5,4,5,4,0,0,1,1,0,0,0,0,"Dee, Ethan A",39,SoSe,1.5
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,7,13,7,3,2,3,3,1,0,0,0,1,0,0,"Dee, Ethan A",40,SoSe,1.5125
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,8,10,3,5,6,1,0,0,0,2,0,0,0,0,"Ambardar, Shivangi",35,SoSe,1.4885714285714284
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,1,9,8,5,8,3,2,1,0,0,1,1,0,0,"Ambardar, Shivangi",39,SoSe,1.756410256410256
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,6,10,4,4,1,2,2,2,0,4,0,0,0,0,"Ambardar, Shivangi",35,SoSe,1.737142857142857
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,4,6,8,2,2,0,1,2,3,0,2,0,2,0,"Ambardar, Shivangi",32,SoSe,2.0125
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,3,14,9,2,4,2,1,1,0,0,2,0,0,0,"Oh, Namgyoon",38,SoSe,1.536842105263158
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,10,9,7,2,5,1,1,2,2,1,0,0,0,0,"Oh, Namgyoon",40,SoSe,1.57
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,12,13,3,2,3,3,2,0,0,0,0,0,0,0,"Cueva Chavez, Ronald A",38,SoSe,1.331578947368421
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,7,13,5,5,3,2,0,0,1,2,0,1,0,0,"Cueva Chavez, Ronald A",39,SoSe,1.5538461538461537
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,9,9,4,6,2,1,2,2,2,2,1,0,0,0,"Cueva Chavez, Ronald A",40,SoSe,1.7274999999999998
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,5,7,5,3,7,2,0,4,0,2,0,0,0,0,"Cueva Chavez, Ronald A",35,SoSe,1.76
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,14,8,4,2,5,2,1,2,1,1,0,0,0,0,"Oh, Namgyoon",40,SoSe,1.5225
2023,Spring,2023-sp,ECON,102,Microeconomic Principles,DIS,8,9,8,5,4,4,0,0,0,1,0,0,0,0,"Oh, Namgyoon",39,SoSe,1.4564102564102563
2023,Spring,2023-sp,MUS,133,Introduction to World Music,LEC,0,488,49,25,16,5,8,10,0,1,4,2,5,0,"Smith, Jonathon M",613,SoSe,1.2114192495921698
2023,Spring,2023-sp,PSYC,100,Intro Psych,LCD,4,7,9,7,5,4,4,1,2,0,0,0,1,0,"Saxsma, Matthew G",44,SoSe,1.7999999999999998
2023,Spring,2023-sp,PSYC,100,Intro Psych,LCD,2,17,8,4,6,4,3,0,0,2,1,1,0,0,"Erens, Jacqueline A",48,SoSe,1.6916666666666667
2023,Spring,2023-sp,PSYC,100,Intro Psych,LCD,6,10,13,9,0,4,1,0,0,0,0,2,3,0,"Ding, Huiyu",48,SoSe,1.7437500000000001
2023,Spring,2023-sp,PSYC,100,Intro Psych,LCD,4,8,8,7,12,4,0,3,1,0,0,0,1,0,"Erens, Jacqueline A",48,SoSe,1.7666666666666666
2023,Spring,2023-sp,PSYC,100,Intro Psych,LCD,5,12,11,9,4,2,2,1,1,0,0,0,0,0,"Ding, Huiyu",47,SoSe,1.5085106382978724
2023,Spring,2023-sp,PSYC,100,Intro Psych,LCD,4,20,7,2,6,3,3,1,0,0,0,0,0,0,"Xu, Jing",46,SoSe,1.4456521739130435
2023,Spring,2023-sp,PSYC,100,Intro Psych,LCD,2,13,8,2,9,6,3,2,0,0,1,1,1,0,"Cerna, Jonathan",48,SoSe,1.833333333333333
2023,Spring,2023-sp,PSYC,100,Intro Psych,LCD,2,11,7,5,7,5,2,2,2,0,0,0,3,1,"Whitlock, Jonathon S",46,SoSe,1.9369565217391302
2023,Spring,2023-sp,PSYC,100,Intro Psych,LCD,3,16,8,5,8,1,4,0,0,0,1,0,1,0,"Cerna, Jonathan",47,SoSe,1.6170212765957446
2023,Spring,2023-sp,PSYC,100,Intro Psych,LCD,1,7,4,3,7,3,2,1,1,0,0,0,1,0,"Whitlock, Jonathon S",30,SoSe,1.863333333333333
2023,Spring,2023-sp,PSYC,100,Intro Psych,LCD,4,16,12,4,6,1,1,0,1,0,0,0,0,0,"Unal, Belgin",45,SoSe,1.3933333333333333
2023,Spring,2023-sp,PSYC,100,Intro Psych,LCD,3,11,7,8,2,5,2,4,1,1,1,0,0,0,"Unal, Belgin",45,SoSe,1.7911111111111109
2023,Spring,2023-sp,PSYC,100,Intro Psych,LCD,3,18,9,8,4,1,2,1,0,0,0,1,1,0,"Quan, Xiang",48,SoSe,1.5479166666666666
2023,Spring,2023-sp,PSYC,100,Intro Psych,LCD,3,10,12,5,7,1,3,0,1,0,1,0,2,0,"Quan, Xiang",45,SoSe,1.751111111111111
2023,Spring,2023-sp,PSYC,100,Intro Psych,LCD,3,16,9,5,5,3,0,0,0,1,0,1,3,0,"Zhang, Jingfeng",46,SoSe,1.7195652173913045
2023,Spring,2023-sp,PSYC,100,Intro Psych,LCD,4,11,6,3,4,1,0,0,0,0,2,1,3,1,"Zhang, Jingfeng",35,SoSe,1.8714285714285714
2023,Summer,2023-su,DANC,100,Intro to Contemporary Dance,ONL,10,16,5,2,0,1,1,1,1,1,0,0,1,0,"Rogovoy, Anna P",39,SoSe,1.4333333333333333
2023,Summer,2023-su,DANC,100,Intro to Contemporary Dance,ONL,9,10,1,0,3,1,0,2,0,0,0,0,2,1,"Amiri, Banafsheh",28,SoSe,1.592857142857143
2023,Summer,2023-su,ECON,102,Microeconomic Principles,ONL,31,30,25,11,9,3,3,2,2,0,0,0,0,0,"DiIanni, Isaac",116,SoSe,1.3603448275862067
2023,Summer,2023-su,MUS,133,Introduction to World Music,ONL,80,13,0,0,1,0,0,0,0,0,0,0,0,0,"Silvers, Michael B",94,SoSe,1.0106382978723405
2023,Summer,2023-su,MUS,133,Introduction to World Music,ONL,62,1,0,0,0,0,0,2,0,0,0,0,1,0,"Silvers, Michael B",66,SoSe,1.121212121212121
2023,Summer,2023-su,PSYC,100,Intro Psych,ONL,4,7,6,3,5,2,1,4,1,0,1,0,3,0,"Shenouda, Christine K",37,SoSe,2.0405405405405403
2023,Winter,2023-wi,DANC,100,Intro to Contemporary Dance,ONL,26,4,3,1,3,1,0,0,0,0,0,0,0,0,"Lewis, Tyesha",38,WiSe,1.1552631578947368
2023,Winter,2023-wi,DANC,100,Intro to Contemporary Dance,ONL,26,7,2,2,1,2,1,0,0,1,0,1,0,0,"De Jesus-Valent, Ricardo",43,WiSe,1.3093023255813954
2023,Winter,2023-wi,ECON,102,Microeconomic Principles,ONL,38,45,23,11,5,2,3,3,0,1,1,0,1,1,"DiIanni, Isaac",133,WiSe,1.3233082706766914
2023,Winter,2023-wi,MUS,133,Introduction to World Music,ONL,124,12,0,0,0,0,0,1,0,0,2,0,1,0,"Silvers, Michael B",140,WiSe,1.0857142857142856
2023,Winter,2023-wi,PSYC,100,Intro Psych,ONL,1,12,5,10,20,2,5,5,2,4,3,0,7,5,"Shenouda, Christine K",76,WiSe,2.3421052631578947
2022,Fall,2022-fa,ACE,240,Personal Financial Planning,LEC,7,12,20,8,14,4,8,2,3,0,1,1,2,0,"Stoddard, Paul B",82,WiSe,1.8487804878048784
2022,Fall,2022-fa,ACE,240,Personal Financial Planning,OLC,2,14,5,6,4,1,2,3,0,1,0,0,0,0,"Sanchez, Donovan",38,WiSe,1.6078947368421053
2022,Fall,2022-fa,ACE,240,Personal Financial Planning,ONL,476,125,0,0,53,0,0,16,0,0,6,0,13,2,"Lemoine, Craig",689,WiSe,1.2249637155297532
2022,Fall,2022-fa,ASTR,100,Introduction to Astronomy,ONL,26,41,22,17,22,9,4,3,6,0,3,1,6,0,"Winans, Amanda",160,WiSe,1.719375
2022,Fall,2022-fa,ASTR,100,Introduction to Astronomy,ONL,54,85,45,33,26,12,10,13,14,8,6,10,51,1,"Winans, Amanda",367,WiSe,2.1716621253405997
2022,Fall,2022-fa,ATMS,120,Severe and Hazardous Weather,OLC,54,218,31,33,101,29,24,26,9,5,4,2,25,0,"Choate, Jessica J",561,WiSe,1.742780748663102
2022,Fall,2022-fa,BADM,300,The Legal Environment of Bus,LCD,31,60,13,13,11,7,4,0,0,0,0,1,0,0,"Warnick, Emerson T",140,WiSe,1.3085714285714287
2022,Fall,2022-fa,BADM,300,The Legal Environment of Bus,LCD,19,51,17,11,17,11,1,2,2,1,2,0,0,2,"Warnick, Emerson T",134,WiSe,1.4708955223880598
2022,Fall,2022-fa,BADM,300,The Legal Environment of Bus,ONL,144,61,24,7,12,0,7,5,2,0,1,0,4,1,"Wright, Margaret",267,WiSe,1.2606741573033708
2022,Fall,2022-fa,BADM,310,Mgmt and Organizational Beh,LEC,227,93,24,13,8,2,1,2,2,0,0,0,2,0,"White, Judith B",374,WiSe,1.1208556149732622
2022,Fall,2022-fa,BADM,310,Mgmt and Organizational Beh,ONL,308,39,13,4,12,4,2,5,2,0,0,1,2,0,"White, Judith B",392,WiSe,1.1357142857142857
2022,Fall,2022-fa,BADM,320,Principles of Marketing,LEC,93,76,18,16,17,6,3,6,0,1,0,1,1,0,"Wolters, Mark E",238,WiSe,1.2878151260504203
2022,Fall,2022-fa,BADM,320,Principles of Marketing,LEC,127,93,22,22,16,3,3,2,0,0,1,0,1,0,"Wolters, Mark E",290,WiSe,1.2
2022,Fall,2022-fa,BADM,320,Principles of Marketing,ONL,72,198,38,27,44,2,4,1,1,0,3,0,1,0,"Liu, Yunchuan",391,WiSe,1.258312020460358
2022,Fall,2022-fa,BADM,350,IT for Networked Organizations,LCD,0,7,10,9,12,1,0,0,1,0,0,0,0,1,"Parthasarathy, Rangarajan",40,WiSe,1.6224999999999998
2022,Fall,2022-fa,BADM,350,IT for Networked Organizations,LCD,4,17,23,7,5,0,0,0,0,0,0,0,0,0,"Subramanyam, Ramanath",56,WiSe,1.3000000000000003
2022,Fall,2022-fa,BADM,350,IT for Networked Organizations,LCD,9,15,5,4,2,0,0,0,0,0,0,0,0,1,"Basu, Saunak",35,WiSe,1.18
2022,Fall,2022-fa,BADM,350,IT for Networked Organizations,LCD,1,13,21,6,3,0,0,0,0,0,0,0,0,1,"Subramanyam, Ramanath",44,WiSe,1.3068181818181819
2022,Fall,2022-fa,BADM,380,International Business,LCD,0,50,0,0,0,2,0,0,0,0,0,0,0,0,"Minefee, Ishva",52,WiSe,1.05
2022,Fall,2022-fa,CHLH,101,Introduction to Public Health,LEC,49,37,11,6,3,5,4,0,2,1,0,0,0,0,"Martenies, Sheena E",118,WiSe,1.2635593220338983
2022,Fall,2022-fa,CHLH,101,Introduction to Public Health,ONL,0,253,0,0,115,0,0,34,0,0,21,0,24,0,"Woodson, Markisha J",447,WiSe,1.7651006711409396
2022,Fall,2022-fa,CLCV,111,Mythology of Greece and Rome,LEC,0,21,2,6,1,1,0,0,0,1,0,0,0,0,"Solomon, Jon",32,WiSe,1.30625
2022,Fall,2022-fa,CLCV,115,Mythology of Greece and Rome,DIS,2,23,0,0,5,0,0,0,1,0,0,1,0,0,"Vandervelde, Amy K",32,WiSe,1.3312499999999998
2022,Fall,2022-fa,CLCV,115,Mythology of Greece and Rome,DIS,3,24,0,0,3,0,0,1,1,0,0,0,0,0,"Vandervelde, Amy K",32,WiSe,1.228125
2022,Fall,2022-fa,CLCV,115,Mythology of Greece and Rome,DIS,3,20,1,1,1,0,0,1,1,0,0,1,1,0,"Knierim, Michael",30,WiSe,1.4533333333333331
2022,Fall,2022-fa,CLCV,115,Mythology of Greece and Rome,DIS,8,14,1,0,4,0,0,1,0,0,0,0,3,0,"Fenton, Vaughn H",31,WiSe,1.5903225806451613
2022,Fall,2022-fa,CLCV,115,Mythology of Greece and Rome,DIS,2,26,1,0,0,0,0,1,0,0,0,0,0,0,"Rahat, Guy",30,WiSe,1.0766666666666667
2022,Fall,2022-fa,CLCV,115,Mythology of Greece and Rome,DIS,8,17,0,0,2,1,0,0,0,0,0,0,3,0,"Baronovic, Joseph R",31,WiSe,1.493548387096774
2022,Fall,2022-fa,CLCV,115,Mythology of Greece and Rome,DIS,3,24,0,1,1,0,0,0,0,0,1,0,1,0,"Rahat, Guy",31,WiSe,1.2806451612903227
2022,Fall,2022-fa,CLCV,115,Mythology of Greece and Rome,DIS,3,25,1,0,1,0,0,0,0,0,0,0,1,0,"Vandervelde, Amy K",31,WiSe,1.1709677419354838
2022,Fall,2022-fa,CLCV,115,Mythology of Greece and Rome,DIS,1,19,0,1,4,1,0,0,0,1,0,0,3,1,"Knierim, Michael",30,WiSe,1.6900000000000002
2022,Fall,2022-fa,CLCV,115,Mythology of Greece and Rome,DIS,5,21,0,2,0,0,0,1,0,0,1,0,1,0,"Sotiroudis, Panagiotis",31,WiSe,1.335483870967742
2022,Fall,2022-fa,CLCV,115,Mythology of Greece and Rome,DIS,11,14,0,0,3,0,0,1,0,0,0,0,2,0,"Rudman, Nicholas A",31,WiSe,1.4193548387096775
2022,Fall,2022-fa,CLCV,115,Mythology of Greece and Rome,DIS,3,24,0,0,2,0,0,0,0,0,0,0,3,0,"Sotiroudis, Panagiotis",32,WiSe,1.4375
2022,Fall,2022-fa,CLCV,115,Mythology of Greece and Rome,DIS,2,20,1,4,3,0,0,1,0,0,0,0,0,0,"Reymann, Emma F",31,WiSe,1.261290322580645
2022,Fall,2022-fa,DANC,100,Intro to Contemporary Dance,LAB,7,7,1,5,3,1,0,1,0,0,0,0,0,0,"Rogovoy, Anna P",25,WiSe,1.4040000000000001
2022,Fall,2022-fa,DANC,100,Intro to Contemporary Dance,LAB,7,6,6,1,2,0,1,0,0,0,1,0,1,0,"Ayorinde, Oluwadamilare",25,WiSe,1.528
2022,Fall,2022-fa,DANC,100,Intro to Contemporary Dance,ONL,35,8,0,0,0,1,0,0,0,0,0,0,1,0,"Henss, Jacob M",45,WiSe,1.1177777777777778
2022,Fall,2022-fa,DANC,100,Intro to Contemporary Dance,ONL,30,6,4,1,0,0,0,0,0,0,1,0,0,0,"Amiri, Banafsheh",42,WiSe,1.1166666666666667
